#RIC,Date[G],Time[G],GMT Offset,Type,Price,Volume,Market VWAP,Qualifiers
ESH6,11-FEB-2016,00:00:00.636577,-6,Trade,1838.75,2,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:00.688351,-6,Trade,1839,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:00.827959,-6,Trade,1839,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:00.892400,-6,Trade,1839,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:01.526174,-6,Trade,1838.75,3,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:01.644327,-6,Trade,1839,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:05.169699,-6,Trade,1838.75,1,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:05.288867,-6,Trade,1839,5,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:07.953885,-6,Trade,1839,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:09.060305,-6,Trade,1838.75,1,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:09.782017,-6,Trade,1838.75,5,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:18.417702,-6,Trade,1839,40,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:18.417702,-6,Trade,1839,3,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:18.417708,-6,Trade,1839,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:23.047519,-6,Trade,1839.25,3,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,40,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,4,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,12,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165703,-6,Trade,1839.25,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165720,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:26.165720,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:29.837524,-6,Trade,1839.25,5,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:30.621701,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:30.730103,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:31.398073,-6,Trade,1839.25,4,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:37.036688,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:37.240788,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:37.413681,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:38.036703,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:38.843349,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.324802,-6,Trade,1839.25,6,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.455644,-6,Trade,1839.25,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.455644,-6,Trade,1839.25,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.757432,-6,Trade,1839.5,10,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.809164,-6,Trade,1839.5,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:39.874588,-6,Trade,1839.5,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:40.519103,-6,Trade,1839.5,3,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:41.818923,-6,Trade,1839.5,78,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:41.826711,-6,Trade,1839.75,4,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:41.826711,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:41.826711,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:42.471290,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:42.731029,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:43.806210,-6,Trade,1839.75,5,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:45.472201,-6,Trade,1839.5,4,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:49.726081,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:51.047396,-6,Trade,1839.75,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.035658,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.411631,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.411631,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.411642,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.607939,-6,Trade,1839.5,4,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.831513,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:52.852086,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:53.476059,-6,Trade,1839.75,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:53.991681,-6,Trade,1839.75,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:54.033673,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:54.085429,-6,Trade,1839.75,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:55.085468,-6,Trade,1839.5,1,,v[ACT_TP_1]
ESH6,11-FEB-2016,00:00:55.926259,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:00:57.857860,-6,Trade,1839.75,1,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:01:03.038472,-6,Trade,1839.75,2,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:01:03.178174,-6,Trade,1839.75,4,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:01:03.284602,-6,Trade,1839.75,9,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:01:03.284602,-6,Trade,1839.75,5,,^[ACT_TP_1]
ESH6,11-FEB-2016,00:01:03.284602,-6,Trade,1839.75,10,,^[ACT_TP_1]
